Código,Descrição, Porte  ,Número de Auxiliares,Porte Anestésico,Filme m² 
30202060,Fístula orofacial - tratamento cirúrgico, 6A ,1,3,
30202078,"Glossectomia subtotal ou total, com ou sem mandibulectomia", 10A ,3,5,
30202086,Palato-queiloplastia unilateral, 10A ,2,5,
30202094,Palatoplastia com enxerto ósseo, 10A ,1,5,
30202108,Palatoplastia com retalho faríngeo, 10A ,1,5,
30202116,Palatoplastia com retalho miomucoso, 9C ,2,5,
30202124,Palatoplastia parcial, 9A ,1,5,
30202132,Palatoplastia total, 9C ,1,5,
30202140,Plástica do ducto parotídeo, 7A ,1,3,
30202159,"Laserterapia para tratamento da mucosite oral/orofaringe, por sessão (com diretriz definida pela ANS - nº 51)",3A,,,
30203015,Frenotomia lingual, 2C ,,0,
30203023,Tumor de língua - tratamento cirúrgico, 4C ,1,3,
30203031,Biopsia de lingua (com diretriz definida pela ANS - nº 84) , 2B ,1,2,
30204011,Biópsia de glândula salivar (com diretriz definida pela ANS - nº 82) , 3B ,1,0,
30204020,Excisão de glândula submandibular, 7C ,1,3,
30204038,Exérese de rânula ou mucocele , 4A ,1,3,
30204046,Parotidectomia parcial com conservação do nervo facial, 9A ,2,5,
30204054,Parotidectomia total ampliada com ou sem reconstrução com retalhos locais, 10A ,2,6,
30204062,Parotidectomia total com conservação do nervo facial, 9C ,2,5,
30204070,Parotidectomia total com reconstrução do nervo facial, 11A ,2,6,
30204089,"Parotidectomia total com sacrificio do nervo facial, sem reconstrução", 7C ,1,5,
30204097,Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar, 4A ,1,3,
30204100,Ressecção de tumor de glândula sublingual, 4C ,1,3,
30205018,Abscesso faríngeo - qualquer área, 3B ,1,1,
30205026,Adeno tonsilectomia - revisão cirúrgica, 5B ,1,4,
30205034,Adeno-amigdalectomia, 7A ,1,3,
30205042,Adenoidectomia, 5B ,,2,
30205050,Amigdalectomia das palatinas, 5B ,1,2,
30205069,Amigdalectomia lingual, 5B ,1,3,
30205077,"Biópsia do cavum, orofaringe ou hipofaringe", 3B ,1,2,
30205085,Cauterização (qualquer técnica) por sessão, 1C ,,0,
30205093,Corpo estranho de faringe - retirada em consultório, 3B ,,0,
30205107,Corpo estranho de faringe - retirada sob anestesia geral, 4A ,,1,
30205115,Criptólise amigdaliana, 4B ,1,3,
30205140,Faringolaringectomia, 10C ,3,5,
30205158,Faringolaringoesofagectomia total, 12B ,3,7,
30205166,Ressecção de nasoangiofibroma, 9C ,3,5,
30205174,Ressecção de tumor de faringe (via bucal ou nasal), 7C ,2,4,
30205182,Ressecção de tumor de faringe com acesso por faringotomia ou por retalho jugal, 8C ,3,6,
30205190,Ressecção de tumor de faringe com mandibulectomia, 9C ,3,6,
30205204,Ressecção de tumor de faringe por mandibulotomia, 10C ,3,5,
30205212,Ressecção de tumor de nasofaringe via endoscópica, 5B ,1,5,
30205239,Tumor de boca ou faringe - ressecção (com diretriz definida pela ANS - nº 87 e 88), 7C ,1,4,
30205247,Uvulopalatofaringoplastia (qualquer técnica), 9A ,1,5,
30205271,Adenoidectomia por videoendoscopia, 6B ,,3,
30206014,Alargamento de traqueostomia, 4C ,1,3,
30206022,Aritenoidectomia microcirúrgica, 6A ,1,3,
30206030,Aritenoidectomia ou aritenopexia via externa, 8A ,1,4,
30206049,Confecção de fístula tráqueo-esofágica para prótese fonatória com miotomia faríngea, 8A ,2,6,
30206065,Exérese de tumor por via endoscópica, 6A ,1,4,
30206103,Injeção intralaríngea de toxina botulínica, 4B ,1,1,
30206120,Laringectomia parcial, 9C ,3,5,
30206138,Laringectomia total, 10C ,2,5,
30206170,Laringofissura (inclusive com cordectomia), 7A ,2,4,
30206200,Laringotraqueoplastia, 9A ,2,4,
30206219,Microcirurgia com laser para remoção de lesões malignas , 6A ,1,4,
30206227,Microcirurgia com uso de laser para ressecção de lesões benignas , 5B ,1,3,
30206235,Microcirurgia para decorticação ou tratamento de edema de Reinke, 6A ,1,3,
30206243,Microcirurgia para remoção de cisto ou lesão intracordal, 6A ,1,4,
30206251,Microcirurgia para ressecção de papiloma , 6A ,1,3,
30206260,"Microcirurgia para ressecção de pólipo, nódulo ou granuloma", 5B ,1,3,
30206278,Microcirurgia para tratamento de paralisia de prega vocal (inclui injeção de materiais), 6A ,1,3,
30206294,Reconstrução para fonação após laringectomia, 5B ,2,4,
30206308,Tiroplastia tipo 1 com rotação de aritenóide, 8B ,1,4,
30206316,Tiroplastia tipo 1 simples, 6A ,1,4,
30206324,Tiroplastia tipo 2 ou 3, 6A ,1,4,
30206359,Tratamento cirúrgico da estenose laringo-traqueal, 9A ,3,7,
30206367,Tratamento cirúrgico de trauma laríngeo (agudo), 7C ,2,3,
30207010,Redução de fratura do malar (sem fixação), 6A ,1,1,
30207029,Redução de fratura do malar (com fixação), 9A ,1,3,
30207037,Redução de fratura de seio frontal (acesso frontal), 8C ,1,3,
30207045,Redução de fratura de seio frontal (acesso coronal), 8C ,1,3,
30207061,Fratura do arco zigomático - redução instrumental sem fixação, 5B ,1,2,
30207070,Fratura do arco zigomático - redução cirúrgica com fixação, 9A ,1,3,
30207088,Fratura  simples de mandíbula com contenção e bloqueio intermaxilar eventual , 8C ,1,3,
30207096,Fratura simples de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual, 9A ,2,4,
30207100,Fratura naso etmóido órbito-etmoidal , 9B ,1,5,
30207118,Fratura cominutiva de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual, 9C ,2,5,
30207126,Fraturas complexas de mandíbula - redução cirúrgica com fixação óssea e eventual bloqueio intermaxilar, 10B ,2,5,
30207134,Fraturas alveolares - fixação com aparelho e contenção, 5B ,1,2,
30207142,"Fratura de maxila, tipo Lefort I e II - redução e aplicação de levantamento zigomático-maxilar com bloqueio intermaxilar eventual", 9A ,2,3,
30207150,"Fratura de maxila, tipo Lefort III - redução e aplicação de levantamento crânio-maxilar com bloqueio intermaxilar eventual", 9B ,2,4,
30207169,"Fratura Lefort I - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual", 9A ,1,4,
30207177,"Fratura Lefort II - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual", 9A ,2,5,
30207185,"Fratura Lefort III - fixação cirúrgica com síntese óssea, levantamento crânio-maxilar e bloqueio intermaxilar eventual", 10A ,2,5,
30207193,"Fraturas múltiplas de terço médio da face:fixação cirúrgica com síntese óssea, levantamento crânio maxilar e bloqueio intermaxilar", 10C ,2,5,
30207207,"Fraturas complexas do terço médio da face, fixação cirúrgica com síntese, levantamento crânio-maxilar, enxerto ósseo, halo craniano eventual", 10C ,2,6,
30207215,Retirada dos meios de fixação (na face) , 3B ,,2,
30207223,Tratamento conservador de fratura de ossos, 4C ,,0,
30207231,Redução de luxação da ATM (com diretriz definida pela ANS - nº 96) , 4A ,1,2,
30208017,Artroplastia para luxação recidivante da articulação têmporo-mandibular, 9B ,2,5,
30208025,"Osteoplastia para prognatismo, micrognatismo ou laterognatismo", 9B ,2,5,
30208033,Osteotomias alvéolo palatinas, 9B ,1,3,
30208041,Osteotomias segmentares da maxila ou malar (com diretriz definida pela ANS - nº 87 e 88) , 9B ,1,4,
30208050,Osteotomia tipo Lefort I, 9B ,1,4,
30208068,Osteotomia tipo Lefort II, 10A ,2,5,
30208076,Osteotomia tipo Lefort III - extracraniana, 10B ,2,5,
30208084,Osteotomia crânio-maxilares complexas, 10C ,3,6,
30208092,Redução simples da luxação da articulação têmporo-mandibular com fixação intermaxilar, 6A ,1,2,
30208106,Reconstrução parcial da mandíbula com enxerto ósseo, 10B ,2,5,
30208114,Reconstrução total de mandíbula com prótese e ou enxerto ósseo, 10C ,3,6,
30208122,Tratamento cirúrgico de anquilose da articulação têmporo-mandibular, 10C ,1,4,
30208130,Translocacao etmoido orbital para tratamento do hipertelorismo miocutaneo associado a expansor de tecido - por lado, 11A ,3,6,
30209013,Osteoplastias etmóido orbitais, 10A ,2,5,
30209021,Osteoplastias de mandíbula, 9C ,2,5,
30209030,Osteoplastias do arco zigomático, 9A ,1,3,
30209048,Osteoplastias da órbita , 10B ,2,5,
30209056,Correção cirúrgica de depressão (afundamento) da região frontal, 10B ,2,5,
30210011,"Hemiatrofia facial, correção com enxerto de gordura ou implante", 9B ,1,5,
30210020,"Correção de tumores, cicatrizes ou ferimentos com o auxílio de expansores de tecidos - por estágio ", 9B ,1,5,
30210038,"Paralisia facial - reanimação com o músculo temporal (região oral), sem neurotização", 9B ,2,5,
30210046,"Paralisia facial - reanimação com o músculo temporal (região orbital), sem neurotização", 9B ,2,5,
30210054,Paralisia facial - reanimação com o músculo temporal (região oral) com neurotização, 11C ,2,6,
30210062,Paralisia facial - reanimação com o músculo temporal (região orbital e oral) com neurotização, 11C ,1,6,
30210070,Reconstrução com retalhos axiais supra-orbitais e supratrocleares , 9A ,1,6,
30210089,Reconstrução com retalho axial da artéria temporal superficial, 9A ,1,6,
30210097,Reconstrução com retalhos em VY de pedículo subarterial , 9A ,1,6,
30210100,Reconstrução com rotação do músculo temporal , 9C ,1,6,
30210119,Exérese de tumor maligno de pele , 4A ,1,2,
30210127,"Exérese de tumor benigno, cisto ou fístula", 3C ,1,3,
30211018,Biopsia de mandibula (com diretriz definida pela ANS - nº 85) , 4A ,1,1,
30211034,Ressecção de tumor de mandíbula com desarticulação de ATM, 9B ,3,5,
30211042,Hemimandibulectomia ou ressecção segmentar ou seccional da mandíbula, 9B ,2,4,
30211050,Mandibulectomia total, 10A ,2,5,
30211069,Mandibulectomia com ou sem esvaziamento orbitário e rinotomia lateral, 8C ,2,6,
30212014,Cervicotomia exploradora, 7C ,2,4,
30212022,Drenagem de abscesso cervical profundo, 6A ,1,2,
30212030,Esvaziamento cervical radical (especificar o lado), 9A ,2,4,
30212049,Esvaziamento cervical radical ampliado, 9C ,2,5,
30212057,Esvaziamento cervical seletivo (especificar o lado), 7C ,2,3,
30212065,Exérese de cisto branquial, 7C ,1,3,
30212073,Exérese de cisto tireoglosso, 7C ,1,3,
30212081,"Exérese de tumor benigno, cisto ou fístula cervical", 7B ,2,3,
30212090,Linfadenectomia profunda , 6A ,1,2,
30212103,Linfadenectomia superficial , 3B ,1,1,
30212111,Neuroblastoma cervical - exérese, 11A ,1,5,
30212120,Punção-biópsia de pescoço, 2B ,,0,
30212138,Reconstrução de esôfago cervical, 9C ,1,5,
30212146,Ressecção de tumor de corpo carotídeo , 10C ,2,5,
30212154,Retração cicatricial cervical - por estágio, 9A ,2,5,
30212162,Retração cicatricial cervical com emprego de expansores de tecido - por estágio, 9B ,1,5,
30212170,Torcicolo congênito - tratamento cirúrgico, 9A ,1,4,
30212189,Tratamento cirúrgico da lipomatose cervical, 7C ,2,4,
30212197,Tratamento cirúrgico de fístula com retalho cutâneo, 5B ,1,3,
30213010,Biópsia de tireóide, 3A ,,0,
30213029,Bócio mergulhante: extirpação por acesso cérvico-torácico, 10B ,3,5,
30213037,Istmectomia ou nodulectomia , 5B ,2,4,
30213045,Tireoidectomia parcial, 7C ,2,4,
30213053,Tireoidectomia total, 9A ,2,5,
30214017,Biópsia de paratireóide, 7A ,1,1,
30214025,Paratireoidectomia com toracotomia, 10B ,2,5,
30214033,Reimplante de paratireóide previamente preservada, 5B ,1,4,
30214041,Tratamento cirúrgico do hiperparatireoidismo primário, 9A ,2,4,
30214050,Tratamento cirúrgico do hiperparatireoidismo secundário, 10A ,2,4,
30215013,Cranioplastia, 9A ,1,4,
30215021,Craniotomia descompressiva, 9C ,2,5,
30215030,Craniotomia para tumores ósseos, 9A ,2,4,
30215048,Reconstrução craniana ou craniofacial, 11A ,2,7,
30215056,Retirada de cranioplastia, 7C ,1,3,
30215072,Tratamento cirúrgico da craniossinostose, 8C ,1,5,
30215080,Tratamento cirúrgico da fratura do crânio - afundamento, 9B ,2,5,
30215099,Tratamento cirúrgico da osteomielite de crânio, 8B ,2,4,
30301017,Abscesso de pálpebra - drenagem, 2B ,,0,
30301025,Biópsia de pálpebra, 2B ,,0,
30301033,Blefarorrafia, 3B ,,1,
30301041,Calázio - exérese, 2B ,,0,
30301050,Cantoplastia lateral , 4B ,1,2,
30301068,Cantoplastia medial , 4B ,,2,
30301076,Coloboma - com plastica (com diretriz definida pela ANS - nº 15) , 6C ,1,3,
30301084,Correção cirúrgica de ectrópio ou entrópio, 7A ,1,2,
30301114,Epicanto - correção cirúrgica - unilateral, 6B ,1,2,
30301122,Epilação , 1C ,,0,
30301130,Epilação de cílios (diatermo-coagulação), 3C ,1,2,
30301149,Fissura palpebral - correção cirúrgica, 7A ,1,3,
30301157,Lagoftalmo - correção cirúrgica, 6B ,1,2,
30301165,Pálpebra - reconstrução parcial (com ou sem ressecção de tumor), 6B ,1,3,
30301173,Pálpebra - reconstrução total (com ou sem ressecção de tumor) - por estágio, 7A ,2,4,
30301181,Ptose palpebral - correção cirúrgica - unilateral, 7A ,1,2,
30301190,Ressecção de tumores palpebrais, 4B ,2,3,
30301203,Retração palpebral - correção cirúrgica, 7A ,1,3,
30301211,Simbléfaro com ou sem enxerto - correção cirúrgica, 6B ,1,2,
30301220,Supercílio - reconstrução total, 7A ,1,4,
30301238,Sutura de pálpebra, 3B ,1,0,
30301246,Tarsorrafia , 4B ,,3,
30301254,Telecanto - correção cirúrgica - unilateral , 6B ,1,3,
